Name,Latitude,Longitude,Altitude,Dist,AvgSpd,Description,Icon,IconScale,IconAltitude,IconHeading,	IconColor,	LineStringColor,HideNameUntilMouseOver
106 rue de Meaux , 48.885395 , 2.380922 , 0 , 0 , 0 , NO.99<br/>106 rue de Meaux<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , false , 
125 rue de Meaux , 48.8848 , 2.37952 , 0 , 0 , 0 , NO.100<br/>125 rue de Meaux<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Boulevard Sérurierresized_imagepassage des Mauxins , 48.8777461 , 2.4055372 , 0 , 0 , 0 , NO.101<br/>Boulevard Sérurierresized_imagepassage des Mauxins<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
6 rue Belgrand , 48.864831 , 2.399541 , 0 , 0 , 0 , NO.102<br/>6 rue Belgrand<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Édith-Piaf , 48.86493 , 2.405237 , 0 , 0 , 0 , NO.103<br/>Place Édith-Piaf<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Maurice-Chevalier , 48.86837 , 2.385721 , 0 , 0 , 0 , NO.104<br/>Place Maurice-Chevalier<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
29 boulevard de Ménilmontant (côté cimetière du Père-Lachaise) , 48.860253 , 2.38895 , 0 , 0 , 0 , NO.105<br/>29 boulevard de Ménilmontant (côté cimetière du Père-Lachaise)<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Rue des Mûriersresized_imagerue des Partants , 48.865064 , 2.391208 , 0 , 0 , 0 , NO.106<br/>Rue des Mûriersresized_imagerue des Partants<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
2 place Octave-Chanute , 48.86626 , 2.406266 , 0 , 0 , 0 , NO.107<br/>2 place Octave-Chanute<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Rue Piat (face au square Alexandre-Luquet) , 48.871505 , 2.386259 , 0 , 0 , 0 , NO.108<br/>Rue Piat (face au square Alexandre-Luquet)<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
